Employee Number,Employee Full Name,Date of Birth,Gender,Position Type,Division,Function Name,Recruitment Type,Joined On,Confirmation Date,Position Job Level (Label),Employee Type,Employee Status,Assignment Status,Last Promotion Date
879479,Anika Desai,18-07-1983,Female,Contract,Division C,Marketing,Internal,29-07-2023,08-11-2022,Junior,Permanent,Active,Assigned,09-03-2024
852934,Arjun Reddy,25-02-2003,Female,Full-time,Division B,Operations,Internal,28-02-2021,28-06-2020,Mid,Contractual,Active,Unassigned,12-06-2021
508805,Reyansh Gupta,19-06-1991,Female,Full-time,Division B,Operations,Internal,27-10-2023,26-06-2021,Lead,Permanent,Active,Assigned,20-02-2022
773563,Vivaan Patel,10-07-1987,Male,Contract,Division B,Operations,External,02-03-2020,12-10-2019,Mid,Permanent,Active,Unassigned,10-09-2021
435193,Aarav Sharma,20-06-1999,Female,Contract,Division B,Operations,Internal,10-12-2022,07-07-2022,Mid,Permanent,Active,Assigned,30-07-2022
532579,Diya Shah,09-06-1993,Male,Part-time,Division B,Operations,External,19-02-2020,26-08-2019,Mid,Contractual,Inactive,Assigned,26-04-2021
293961,Reyansh Gupta,30-01-2004,Female,Full-time,Division A,Marketing,External,14-04-2021,24-02-2021,Junior,Contractual,Active,Assigned,13-02-2023
271652,Aditya Kumar,19-07-1992,Male,Part-time,Division B,Operations,External,19-11-2021,30-07-2020,Junior,Contractual,Inactive,Assigned,21-10-2023
972939,Myra Kapoor,25-03-1996,Female,Contract,Division B,Operations,Internal,12-07-2024,18-05-2021,Lead,Permanent,Active,Assigned,29-12-2021
345226,Anika Desai,10-08-1981,Male,Part-time,Division A,Operations,External,21-03-2020,12-04-2019,Senior,Permanent,Active,Unassigned,20-08-2021
907478,Myra Kapoor,12-02-1976,Female,Part-time,Division C,Operations,External,15-08-2023,25-08-2021,Senior,Permanent,Inactive,Assigned,29-01-2021
681437,Diya Shah,24-06-1997,Male,Contract,Division A,Marketing,External,25-11-2023,09-07-2020,Mid,Contractual,Inactive,Unassigned,21-01-2024
508051,Vivaan Patel,04-11-1981,Male,Contract,Division A,Operations,Internal,18-08-2023,19-07-2021,Senior,Temporary,Active,Assigned,21-08-2021
303734,Aadhya Verma,03-05-1989,Female,Part-time,Division B,Operations,Internal,22-01-2021,26-09-2020,Junior,Contractual,Active,Assigned,06-12-2020
817745,Aadhya Verma,30-11-1986,Male,Contract,Division A,Marketing,External,15-04-2022,24-06-2020,Mid,Temporary,Active,Unassigned,06-01-2021
419597,Riya Pandey,03-08-1999,Male,Part-time,Division A,Marketing,Internal,17-05-2022,06-10-2021,Lead,Temporary,Active,Unassigned,30-03-2024
301571,Avni Shukla,25-04-1977,Male,Full-time,Division C,Operations,External,13-12-2021,14-11-2021,Mid,Permanent,Active,Unassigned,18-01-2022
